TIME,X error,Y error,X,Y
19.791914224624634,2,-6,209,243
19.840179920196533,2,-6,209,243
19.87234115600586,2,-6,209,243
19.904256343841553,1,-5,210,242
19.93564462661743,1,-5,210,242
19.96763324737549,2,-5,209,242
20.000323057174683,3,-5,208,242
20.031733512878418,3,-6,208,243
20.063828706741333,2,-6,209,243
20.09563636779785,2,-6,209,243
20.127645015716553,2,-6,209,243
20.159308910369873,2,-6,209,243
20.191694021224976,1,-6,210,243
20.239585399627686,1,-5,210,242
20.27144956588745,3,-5,208,242
20.304007291793823,2,-5,209,242
20.33543062210083,3,-6,208,243
20.368323802947998,3,-6,208,243
20.40022110939026,3,-6,208,243
20.4316565990448,3,-7,208,244
20.46341371536255,2,-7,209,244
20.4953351020813,2,-6,209,243
20.527726888656616,2,-6,209,243
20.56013321876526,2,-5,209,242
20.592116355895996,3,-5,208,242
20.639684438705444,2,-5,209,242
20.671713829040527,3,-6,208,243
20.703647136688232,2,-6,209,243
20.735506057739258,3,-6,208,243
20.767635345458984,3,-6,208,243
20.79951763153076,2,-7,209,244
20.83156728744507,2,-6,209,243
20.863730907440186,2,-6,209,243
20.895710229873657,2,-6,209,243
20.927801609039307,2,-6,209,243
20.959937810897827,2,-6,209,243
20.991658687591553,3,-6,208,243
21.04031229019165,3,-6,208,243
21.071845531463623,2,-6,209,243
21.10421586036682,3,-6,208,243
21.13618779182434,3,-6,208,243
21.168259620666504,2,-5,209,242
21.199413299560547,2,-6,209,243
21.231547832489014,2,-6,209,243
21.26409649848938,2,-6,209,243
21.29586434364319,2,-6,209,243
21.32725238800049,3,-6,208,243
21.359554290771484,3,-6,208,243
21.391501903533936,2,-6,209,243
21.439709663391113,3,-6,208,243
21.47244119644165,2,-6,209,243
21.504175424575806,2,-5,209,242
21.535625219345093,3,-6,208,243
21.567240715026855,3,-5,208,242
21.599443435668945,2,-6,209,243
21.63190197944641,3,-6,208,243
21.66425132751465,3,-6,208,243
21.695586919784546,3,-7,208,244
21.727245330810547,2,-6,209,243
21.759710788726807,3,-6,208,243
21.79163360595703,2,-6,209,243
21.83971071243286,2,-5,209,242
21.87135910987854,2,-6,209,243
21.903788805007935,2,-5,209,242
21.936566829681396,2,-5,209,242
21.967504024505615,2,-6,209,243
22.00033164024353,3,-6,208,243
22.03213143348694,4,-7,207,244
22.06378984451294,3,-6,208,243
22.095717191696167,3,-6,208,243
22.127578020095825,3,-6,208,243
22.15974450111389,1,-5,210,242
22.19169783592224,1,-4,210,241
22.23983383178711,1,-4,210,241
22.271996021270752,2,-4,209,241
22.303688049316406,2,-4,209,241
22.336400508880615,2,-4,209,241
22.367611169815063,3,-5,208,242
22.399375915527344,3,-6,208,243
22.43135404586792,3,-6,208,243
22.463671684265137,3,-7,208,244
22.4955952167511,2,-6,209,243
22.52726984024048,2,-6,209,243
22.559152603149414,2,-5,209,242
22.592310190200806,2,-4,209,241
22.6402006149292,2,-5,209,242
22.671898365020752,3,-4,208,241
22.70441770553589,2,-5,209,242
22.73578906059265,3,-5,208,242
22.76795530319214,3,-6,208,243
22.799952507019043,3,-7,208,244
22.83184576034546,2,-7,209,244
22.863911151885986,2,-6,209,243
22.895243167877197,2,-6,209,243
22.928081035614014,1,-6,210,243
22.96012783050537,1,-5,210,242
22.991811752319336,1,-5,210,242
23.039376258850098,2,-5,209,242
23.072327613830566,2,-5,209,242
